ID,Tipo,Urgência,Peso,Descrição
910,9,3,29,Medicamentos
911,9,3,53,Equipamentos Médicos
912,9,3,57,Vacinas
913,5,2,53,Eletrônicos
914,3,1,25,Calçados
915,5,2,80,Eletrônicos
916,9,3,66,Alimentos
917,3,1,35,Roupas
918,5,2,48,Têxteis
919,5,2,71,Eletrônicos
920,9,3,78,Vacinas
921,5,2,85,Eletrodomésticos
922,5,2,41,Têxteis
923,9,3,69,Medicamentos
924,9,3,52,Medicamentos
925,3,1,39,Roupas
926,9,3,48,Equipamentos Médicos
927,9,3,68,Vacinas
928,5,2,94,Eletrodomésticos
929,9,3,23,Equipamentos Médicos
930,5,2,64,Eletrodomésticos
931,3,1,52,Roupas
932,9,3,58,Vacinas
933,9,3,41,Vacinas
934,9,3,19,Alimentos
935,5,2,78,Eletrônicos
936,3,1,62,Roupas
937,9,3,88,Peças Mecânicas
938,5,2,61,Eletrônicos
939,9,3,12,Peças Mecânicas
940,9,3,84,Vacinas
941,5,2,10,Eletrônicos
942,3,1,66,Calçados
943,3,1,64,Roupas
944,5,2,17,Eletrônicos
945,9,3,75,Medicamentos
946,9,3,89,Medicamentos
947,3,1,46,Calçados
948,9,3,90,Alimentos
949,9,3,84,Alimentos
950,3,1,34,Roupas
951,3,1,57,Calçados
952,5,2,83,Eletrodomésticos
953,3,1,76,Calçados
954,9,3,75,Alimentos
955,9,3,50,Vacinas
956,3,1,14,Roupas
957,9,3,97,Medicamentos
958,3,1,31,Calçados
959,5,2,59,Eletrônicos
960,3,1,48,Roupas
961,9,3,32,Alimentos
962,5,2,66,Eletrônicos
963,9,3,41,Equipamentos Médicos
964,9,3,100,Alimentos
965,5,2,80,Têxteis
966,9,3,80,Medicamentos
967,9,3,35,Medicamentos
968,5,2,92,Eletrônicos
969,9,3,13,Equipamentos Médicos
970,9,3,48,Vacinas
971,5,2,94,Eletrodomésticos
972,5,2,67,Eletrônicos
973,3,1,44,Roupas
974,9,3,51,Alimentos
975,5,2,57,Eletrodomésticos
976,9,3,65,Medicamentos
977,9,3,94,Vacinas
978,5,2,84,Têxteis
979,9,3,12,Medicamentos
980,5,2,17,Eletrodomésticos
981,5,2,75,Eletrônicos
982,9,3,36,Equipamentos Médicos
983,3,1,82,Roupas
984,9,3,16,Peças Mecânicas
985,5,2,91,Têxteis
986,9,3,79,Peças Mecânicas
987,3,1,63,Calçados
988,5,2,40,Têxteis
989,3,1,14,Roupas
990,3,1,50,Calçados
991,9,3,64,Alimentos
992,3,1,99,Roupas
993,5,2,33,Têxteis
994,5,2,65,Eletrônicos
995,5,2,24,Têxteis
996,3,1,86,Calçados
997,5,2,23,Têxteis
998,9,3,30,Medicamentos
999,9,3,23,Equipamentos Médicos
1000,9,3,52,Peças Mecânicas
